objectid,title,neighborhood,location,address,city,state,zip_code,type,subject,datebuilt_architect,date,latitude,longitude,architect,object_location,image
AAHS_264,North Penn Baptist Church,North,North,2419-2425 N. 27th St.,Philadelphia,PA,19132,church,church,"ca. 1911, Charles Wells",1911,39.985261,-75.177145,Charles Wells,,
AAHS_158,Greater Exodus Baptist Church / Our Lady of Blessed Sacrament / Central Presbyterian Church,North,North,708-714 N. Broad St.,Philadelphia,PA,19130,church,church,"ca. 1877, Collins Autenreith",1877,40.010581,-75.150898,Collins Autenreith,,
AAHS_402,Uptown Theater,North,North,2240 N. Broad St.,Philadelphia,PA,19132,theater,theater,"1927, 1929, E. Magiziner, H. Magiziner",1927;1929,39.987403,-75.15652,E. Magiziner; H. Magiziner,,
AAHS_239,Morris Brown A.M.E. Church / Bethany Lutheran Church,North,North,1754-1756 N. 25th St.,Philadelphia,PA,19121,church,church,"1885, Frank Miller",1885,39.989742,-75.173784,Frank Miller,,
AAHS_337,St. Augustine Church of the Covenant,North,North,2701 W. Girard Ave.,Philadelphia,PA,19130,church,church,"1888, Frank Watson",1888,39.974434,-75.180653,Frank Watson,,
AAHS_316,Richard Allen Homes,North,North,"10th-12th, Fairmount-Poplar",Philadelphia,PA,19123,housing development,housing development,"1939-1941, George Ignatius Lovatt, Sr., John Sinkler; demolished and replaced with lower-density housing",1939;1941,40.078105,-75.21613,"George Ignatius Lovatt, Sr.; John Sinkler",,
AAHS_205,Jones Tabernacle A.M.E. Church / Union Methodist Episcopal Church,North,North,2019 W. Diamond St.,Philadelphia,PA,19121,church,church,"1888, Hazelhurst & Huckel",1888,39.987156,-75.175417,Hazelhurst & Huckel,,
AAHS_258,Nazarene Baptist Church Building #1,North,North,1462 W. Lycoming St.,Philadelphia,PA,19140,church,church,"1916-1917, Henry Dehoff",1916;1917,40.015035,-75.146862,Henry Dehoff,,
AAHS_263,North Broad Street Station,North,North,2545-2599 N. Broad St.,Philadelphia,PA,19132,railroad station,railroad station,"1928, Horace Trumbauer (Julian Abele)",1928,40.010581,-75.150898,Horace Trumbauer (Julian Abele),,
AAHS_285,Peter A. B. Widener Mausoleum (Laurel Hill Cemetery),North,North,3822 Ridge Ave.,Philadelphia,PA,19132,mausoleum,mausoleum,"mausoleum ca. 1915, Horace Trumbauer (Julian Abele)",1915,39.96086,-75.156768,Horace Trumbauer (Julian Abele),,
AAHS_292,Philadelphia Museum of Art,North,North,2600 Benjamin Franklin Parkway,Philadelphia,PA,19130,museum,museum,"1919, Horace Trumbauer (Julian Abele)",1919,39.965583,-75.180989,Horace Trumbauer (Julian Abele),,
AAHS_296,Philadelphia YMCA (North Branch),North,North,1007 W. Lehigh Ave.,Philadelphia,PA,19133,young men's Christian association,young men's Christian association,"ca. 1912, Horace Trumbauer (Julian Abele)",1912,39.993528,-75.14831,Horace Trumbauer (Julian Abele),,
AAHS_94,Ebenezer Baptist Church Building,North,North,2259 N. 10th St.,Philadelphia,PA,19133,church,church,"1904, Isaac Pursell",1904,39.9307756,-75.1706192,Isaac Pursell,,
AAHS_291,Philadelphia Manual Training School,North,North,17th and Wood Sts.,Philadelphia,PA,19103,school,school,"1868, James Charles Sidney; alterations, 1886, 1895",1868;1886;1895,39.990821,-75.168428,James Charles Sidney,,
AAHS_262,New Apostolic Church of North America,North,North,K & E. Cayuga Sts.,Philadelphia,PA,19124,church,church,James Plater,,40.014036,-75.079067,James Plater,,
AAHS_373,Supreme Liberty Life Insurance Office,North,North,1637 N. Broad St.,Philadelphia,PA,19122,,,"ca. 1949, James Plater",1949,40.010581,-75.150898,James Plater,,
